product_id,category_id,price,current_stock,sales_7_days,sales_30_days,revenue_30_days,order_count_30_days,average_quantity_per_order,days_since_last_sale,dead_product
164,2,23112,430,4,4,89115,14,5,77,1
23,10,231208,67,0,0,0,78,1,57,1
144,4,385400,383,8,8,3067540,36,1,99,1
195,3,376026,267,5,5,1826605,98,3,81,1
27,2,209191,100,5,5,1021324,6,4,90,1
138,2,493548,244,1,1,509805,80,3,116,1
148,4,379398,86,0,0,0,11,2,75,1
26,7,155738,283,5,5,767420,86,3,66,1
180,2,329360,376,2,2,641910,60,4,114,1
70,9,125141,401,5,5,645840,41,4,53,1
69,2,120615,341,5,5,603028,83,4,73,1
37,5,83206,177,8,8,682090,55,5,114,1
103,6,124987,121,8,8,1025471,15,2,109,1
161,3,425277,399,6,6,2521455,60,5,54,1
65,9,461296,56,1,1,450539,83,3,114,1
29,5,237942,131,7,7,1728195,34,5,46,1
196,3,276171,105,4,4,1071423,48,2,110,1
139,9,491555,51,9,9,4211411,47,3,87,1
62,1,136286,500,9,9,1255019,9,5,56,1
197,3,77314,388,7,7,528482,78,4,116,1
55,9,405976,424,3,3,1278233,84,3,85,1
113,9,246708,112,3,3,728140,76,5,74,1
59,10,125457,54,1,1,120029,5,3,53,1
19,9,134782,193,7,7,908783,74,5,73,1
122,4,421366,293,6,6,2426292,56,3,70,1
109,7,254855,493,0,0,0,44,1,58,1
64,4,109724,325,7,7,743757,60,2,63,1
20,8,433636,492,6,8,3521868,70,1,58,1
24,4,97194,259,7,7,705167,8,2,107,1
98,1,214693,186,7,7,1532395,94,5,82,1
170,8,91158,148,4,4,367519,70,1,73,1
192,6,39971,76,9,9,374825,68,2,107,1
15,9,52001,486,2,2,99508,31,4,54,1
31,10,139087,347,9,9,1199456,85,5,51,1
145,9,175868,184,3,3,515237,17,3,86,1
118,6,497073,435,1,1,503095,73,1,47,1
19,9,121754,310,4,4,505564,32,3,62,1
73,3,239734,477,8,8,2010668,84,5,84,1
3,9,166960,390,1,1,160539,14,5,63,1
40,5,157721,360,3,3,482034,34,5,89,1
126,5,484657,484,0,0,0,36,1,57,1
1,6,414288,117,4,4,1647513,91,4,66,1
144,1,68654,89,2,2,141902,75,5,115,1
38,7,76818,72,4,4,319529,27,2,92,1
171,2,195429,450,8,8,1602436,31,2,98,1
46,7,22995,142,5,5,119160,32,3,98,1
41,2,210562,497,0,0,0,59,3,106,1
79,4,126876,63,3,3,372201,9,3,97,1
90,9,219546,398,3,8,1688807,34,2,88,1
149,5,30057,106,9,9,276695,41,4,101,1
156,9,70631,248,9,9,606716,56,1,70,1
134,9,370110,419,3,3,1062582,86,3,92,1
160,6,357806,485,1,1,350982,53,3,84,1
104,5,300671,116,3,3,941734,87,2,99,1
158,10,167784,258,8,8,1313670,56,5,46,1
156,6,253787,277,7,7,1771745,95,2,73,1
169,2,158785,314,9,9,1474569,97,2,88,1
173,5,127776,463,3,3,365933,61,5,64,1
197,2,248769,263,9,9,2282883,64,4,70,1
63,3,353963,403,0,0,0,23,5,59,1
119,1,302241,178,1,1,311351,86,5,104,1
144,10,176355,437,7,7,1275293,71,4,110,1
41,8,245966,183,3,3,758387,63,2,81,1
71,8,50623,416,4,4,199168,70,1,76,1
36,3,131247,247,2,2,260259,43,5,73,1
120,7,42645,156,6,6,258021,90,1,95,1
196,10,209429,295,0,0,0,54,5,91,1
192,9,429361,359,3,3,1258835,63,1,108,1
100,6,360682,398,6,6,2254884,80,5,67,1
7,7,320322,339,0,0,0,60,2,56,1
13,5,208759,218,3,3,616100,49,3,104,1
193,7,142262,478,1,1,145804,7,3,106,1
58,2,419591,384,0,0,0,3,5,49,1
40,4,76176,293,1,1,75909,33,3,118,1
43,10,328372,433,1,1,315503,4,3,66,1
148,7,217961,417,3,3,666346,81,2,55,1
27,5,455798,401,9,9,4218124,45,5,61,1
110,6,46153,310,5,5,238203,14,4,47,1
93,8,380833,129,6,6,2289967,84,3,68,1
158,9,416135,298,7,7,2939882,42,2,101,1
23,5,472228,281,3,3,1432314,49,3,105,1
8,8,456144,217,2,2,899043,34,3,108,1
72,10,377622,192,8,8,3156334,11,2,47,1
185,7,266155,335,3,3,815379,58,1,106,1
24,5,126180,258,3,3,381627,61,5,85,1
136,6,233086,432,8,8,1902514,35,3,88,1
65,4,73258,420,3,3,225111,98,2,86,1
50,4,397241,298,4,4,1554483,13,2,113,1
76,4,199205,142,4,4,799539,36,1,47,1
14,9,163163,408,2,2,338488,74,3,108,1
121,8,240932,225,2,2,503117,62,1,52,1
17,7,267816,88,9,9,2325788,73,3,52,1
22,4,72102,336,6,6,433588,58,4,74,1
77,10,234830,207,9,9,2210712,13,2,53,1
161,4,148750,389,1,1,143897,10,2,66,1
1,7,246193,403,9,9,2112182,37,3,106,1
180,8,47318,402,3,3,146088,76,2,79,1
109,2,295507,166,2,2,565683,22,3,80,1
153,10,492970,198,7,7,3515898,90,4,61,1
70,9,293105,303,7,7,1957326,56,3,56,1
155,5,23560,97,3,3,73866,98,3,119,1
148,1,410088,438,2,2,832602,36,2,106,1
150,7,342810,467,7,7,2363185,43,3,57,1
172,2,459699,133,5,5,2297453,85,4,98,1
195,9,29239,283,1,1,28722,99,4,86,1
132,1,354803,496,8,8,2711888,67,3,105,1
160,8,337894,277,0,0,0,37,4,72,1
179,8,73662,65,9,9,640309,71,1,76,1
142,7,58868,166,1,1,59737,20,4,105,1
184,5,276795,412,4,4,1160351,32,4,99,1
142,3,211109,148,9,9,1972052,9,3,111,1
